sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
INJ-USDT-SWAP,4,E1,2026-04-15T20:00:00.000,2026-04-15T21:00:00.000,189.1274,2.0,1,TP,1
INJ-USDT-SWAP,4,,2026-04-15T22:00:00.000,2026-04-15T23:00:00.000,-113.2907,-1.0221,0,SL,1
IMX-USDT-SWAP,1,,2025-08-13T16:00:00.000,2025-08-13T22:00:00.000,192.6921,2.0,1,TP,6
IMX-USDT-SWAP,1,,2025-09-17T19:00:00.000,2025-09-17T20:00:00.000,194.2757,2.0,1,TP,1
IMX-USDT-SWAP,1,E2,2025-09-18T16:00:00.000,2025-09-18T17:00:00.000,195.0036,2.0,1,TP,1
IMX-USDT-SWAP,3,,2026-01-14T16:00:00.000,2026-01-14T17:00:00.000,-111.4645,-1.019,0,SL,1
IMX-USDT-SWAP,3,E4,2026-02-25T15:00:00.000,2026-02-25T16:00:00.000,190.8877,2.0,1,TP,1
IMX-USDT-SWAP,3,,2026-02-25T17:00:00.000,2026-02-25T22:00:00.000,-112.5413,-1.0208,0,SL,5
IMX-USDT-SWAP,4,,2026-04-15T17:00:00.000,2026-04-15T18:00:00.000,189.8109,2.0,1,TP,1
IMX-USDT-SWAP,4,,2026-04-15T20:00:00.000,2026-04-15T21:00:00.000,-112.4373,-1.0206,0,SL,1
IMX-USDT-SWAP,4,,2026-04-22T18:00:00.000,2026-04-22T19:00:00.000,-111.9559,-1.0198,0,SL,1
SAND-USDT-SWAP,3,E2,2026-01-14T16:00:00.000,2026-01-14T17:00:00.000,-112.0903,-1.0201,0,SL,1
SAND-USDT-SWAP,3,,2026-02-25T18:00:00.000,2026-02-25T19:00:00.000,190.8929,2.0,1,TP,1
SAND-USDT-SWAP,3,E2,2026-02-25T21:00:00.000,2026-02-25T22:00:00.000,-112.7027,-1.0211,0,SL,1
HBAR-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-114.2039,-1.0236,0,SL,1
HBAR-USDT-SWAP,5,E2,2026-07-22T16:00:00.000,2026-07-22T17:00:00.000,187.9126,2.0,1,TP,1
SHIB-USDT-SWAP,2,E1,2025-12-03T16:00:00.000,2025-12-03T17:00:00.000,189.5352,2.0,1,TP,1
SHIB-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-114.7046,-1.0244,0,SL,1
SHIB-USDT-SWAP,4,,2026-03-11T16:00:00.000,2026-03-11T21:00:00.000,-113.2105,-1.0219,0,SL,5
SHIB-USDT-SWAP,4,E4,2026-04-16T17:00:00.000,2026-04-16T18:00:00.000,189.8239,2.0,1,TP,1
SNX-USDT-SWAP,1,E2,2025-09-24T15:00:00.000,2025-09-24T18:00:00.000,194.6746,2.0,1,TP,3
SNX-USDT-SWAP,1,E2,2025-09-24T21:00:00.000,2025-09-24T22:00:00.000,195.7823,2.0,1,TP,1
SNX-USDT-SWAP,1,,2025-10-01T20:00:00.000,2025-10-01T23:00:00.000,-104.8249,-1.0079,0,SL,3
SNX-USDT-SWAP,3,E2,2026-02-19T17:00:00.000,2026-02-19T18:00:00.000,-105.9418,-1.0098,0,SL,1
SUSHI-USDT-SWAP,3,,2026-02-25T18:00:00.000,2026-02-25T21:00:00.000,191.208,2.0,1,TP,3
SUSHI-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-112.4012,-1.0206,0,SL,1
