feat_a,val_a,feat_b,val_b,n,win_rate,profit_factor,expectancy_r
adx14,1,session_code,1,225,0.32,0.8950718437857701,-0.039999999999999925
adx14,2,session_code,0,245,0.3224489795918367,0.8938411394768194,-0.032653061224489854
rsi14,0,realized_vol,1,203,0.3251231527093596,0.8932538784354083,-0.024630541871921152
dist_from_low20_pct,2,bb_width,1,171,0.3157894736842105,0.8928724090122749,-0.052631578947368474
rsi14,2,realized_vol,2,207,0.3140096618357488,0.8918107092730047,-0.05797101449275355
bb_width,2,regime_code,0,236,0.3177966101694915,0.8911524174660742,-0.04661016949152541
dist_from_low20_pct,0,realized_vol,0,373,0.32707774798927614,0.8901718412002962,-0.018766756032171594
adx14,0,rsi14,0,244,0.3237704918032787,0.8864135571676356,-0.02868852459016391
atr_rank_pct,1,bb_width,1,206,0.32038834951456313,0.8853312137849285,-0.03883495145631055
adx14,0,regime_code,0,598,0.3193979933110368,0.88470162041153,-0.041806020066889604
rsi14,1,session_code,1,253,0.31620553359683795,0.8809529611546935,-0.0513833992094862
dist_from_low20_pct,1,realized_vol,1,237,0.31645569620253167,0.8807014406073118,-0.050632911392405
hour_utc,1,rel_vol,2,294,0.3129251700680272,0.8792999613278146,-0.061224489795918324
adx14,1,dist_from_low20_pct,0,181,0.3259668508287293,0.8787948063920813,-0.02209944751381221
ema200_slope_pct,2,regime_code,1,370,0.3162162162162162,0.8787434845255507,-0.05135135135135138
dist_from_ema200_pct,2,bb_width,1,199,0.3165829145728643,0.8787023395854561,-0.05025125628140714
adx14,2,ema200_slope_pct,1,176,0.3181818181818182,0.8785688834604894,-0.045454545454545525
ema200_slope_pct,0,rel_vol,0,145,0.32413793103448274,0.8781806034234091,-0.02758620689655178
rsi14,1,rel_vol,2,163,0.3128834355828221,0.8756846775635178,-0.06134969325153372
dist_from_low20_pct,0,session_code,0,251,0.32270916334661354,0.8755841305311586,-0.031872509960159445
rsi14,0,regime_code,1,252,0.32142857142857145,0.8735905401775694,-0.0357142857142857
bb_width,0,hour_utc,1,189,0.31746031746031744,0.8734997833015211,-0.04761904761904767
dist_from_low20_pct,0,regime_code,1,270,0.32222222222222224,0.8734127386132725,-0.033333333333333326
dist_from_ema200_pct,1,realized_vol,2,159,0.31446540880503143,0.8716944636881289,-0.05660377358490576
atr_rank_pct,0,adx14,2,202,0.31683168316831684,0.87081572964537,-0.04950495049504944
realized_vol,0,hour_utc,1,189,0.31746031746031744,0.8688946737905363,-0.04761904761904767
dist_from_low20_pct,2,realized_vol,2,377,0.3103448275862069,0.8687761295570529,-0.06896551724137934
ema200_slope_pct,0,hour_utc,0,210,0.3142857142857143,0.8649404276175545,-0.05714285714285716
realized_vol,0,hour_utc,2,201,0.31840796019900497,0.8633822042029642,-0.04477611940298509
