env,sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
E8,PEPE-USDT-SWAP,F1,2026-02-24T15:00:00.000,2026-02-24T18:00:00.000,-112.9306,-1.0215,0,SL
E8,PEPE-USDT-SWAP,F2,2026-03-10T15:00:00.000,2026-03-10T18:00:00.000,-110.7317,-1.0178,0,SL
E8,ENA-USDT-SWAP,F3,2026-06-29T15:00:00.000,2026-06-29T16:00:00.000,-107.7228,-1.0128,0,SL
E8,UNI-USDT-SWAP,F5,2026-06-26T14:00:00.000,2026-06-26T17:00:00.000,193.3136,2.0,1,TP
E8,FIL-USDT-SWAP,F2,2026-03-10T15:00:00.000,2026-03-10T16:00:00.000,-112.1384,-1.0201,0,SL
E8,FIL-USDT-SWAP,F2,2026-03-30T08:00:00.000,2026-03-30T09:00:00.000,-113.7682,-1.0228,0,SL
E8,FIL-USDT-SWAP,F4,2026-06-03T14:00:00.000,2026-06-03T17:00:00.000,-107.7594,-1.0128,0,SL
E8,FIL-USDT-SWAP,F4,2026-06-18T15:00:00.000,2026-06-18T16:00:00.000,-111.5036,-1.0191,0,SL
E8,AAVE-USDT-SWAP,F4,2026-06-24T13:00:00.000,2026-06-24T14:00:00.000,-111.3464,-1.0188,0,SL
E8,AXS-USDT-SWAP,F4,2026-06-24T09:00:00.000,2026-06-24T13:00:00.000,-111.5407,-1.0191,0,SL
E8,CHZ-USDT-SWAP,F1,2026-03-08T13:00:00.000,2026-03-08T16:00:00.000,189.4679,2.0,1,TP
E8,COMP-USDT-SWAP,F1,2026-03-11T10:00:00.000,2026-03-11T12:00:00.000,192.709,2.0,1,TP
E8,CRV-USDT-SWAP,F1,2026-04-02T15:00:00.000,2026-04-02T16:00:00.000,-113.7371,-1.0228,0,SL
E8,EGLD-USDT-SWAP,F2,2026-04-05T14:00:00.000,2026-04-05T23:00:00.000,177.4138,2.0,1,TP
E8,EGLD-USDT-SWAP,F2,2026-04-13T14:00:00.000,2026-04-13T21:00:00.000,184.0962,2.0,1,TP
E8,ETC-USDT-SWAP,F4,2026-06-11T14:00:00.000,2026-06-11T17:00:00.000,185.9206,2.0,1,TP
E8,ETC-USDT-SWAP,F5,2026-07-08T12:00:00.000,2026-07-08T15:00:00.000,-118.9474,-1.0315,0,SL
E8,GALA-USDT-SWAP,F1,2026-03-10T15:00:00.000,2026-03-10T16:00:00.000,-113.4,-1.0222,0,SL
E8,GALA-USDT-SWAP,F1,2026-03-11T15:00:00.000,2026-03-11T17:00:00.000,-113.6981,-1.0227,0,SL
E8,GALA-USDT-SWAP,F4,2026-06-11T08:00:00.000,2026-06-14T05:00:00.000,-108.0514,-1.0133,0,SL
E8,GMX-USDT-SWAP,F1,2026-03-12T13:00:00.000,2026-03-12T16:00:00.000,-112.9068,-1.0214,0,SL
E8,GMX-USDT-SWAP,F1,2026-03-27T15:00:00.000,2026-03-27T22:00:00.000,-115.7281,-1.0261,0,SL
E8,GMX-USDT-SWAP,F3,2026-05-20T12:00:00.000,2026-05-20T13:00:00.000,-120.3304,-1.0338,0,SL
E8,GMX-USDT-SWAP,F4,2026-06-30T10:00:00.000,2026-06-30T12:00:00.000,-118.2032,-1.0302,0,SL
E8,GMX-USDT-SWAP,F5,2026-07-01T15:00:00.000,2026-07-01T16:00:00.000,189.3862,2.0,1,TP
E8,GRT-USDT-SWAP,F1,2026-03-12T14:00:00.000,2026-03-12T16:00:00.000,186.2737,2.0,1,TP
E8,GRT-USDT-SWAP,F5,2026-07-10T12:00:00.000,2026-07-10T13:00:00.000,-130.1379,-1.0501,0,SL
E8,LDO-USDT-SWAP,F4,2026-06-29T15:00:00.000,2026-06-29T17:00:00.000,190.5645,2.0,1,TP
